Sep 30 13:12:12.148 WARN Ethereum 2.0 is pre-release. This software is experimental.
Sep 30 13:12:12.148 INFO Lighthouse started                      version: Lighthouse/v0.2.13-c0e76d2c
Sep 30 17:56:08.714 INFO New block received                      hash: 0xa883…5f80, slot: 411280
Sep 30 17:56:14.000 INFO Synced                                  slot: 411280, block: 0xa883…5f80, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 51, service: slot_notifier
Sep 30 17:56:20.904 INFO New block received                      hash: 0xfe31…a0b3, slot: 411281
Sep 30 17:56:26.001 INFO Synced                                  slot: 411281, block: 0xfe31…a0b3, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 54, service: slot_notifier
Sep 30 17:56:37.163 INFO New block received                      hash: 0x9577…788f, slot: 411282
Sep 30 17:56:38.000 INFO Synced                                  slot: 411282, block: 0x9577…788f, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 54, service: slot_notifier
Sep 30 17:56:44.671 INFO New block received                      hash: 0xa698…d62d, slot: 411283
Sep 30 17:56:50.000 INFO Synced                                  slot: 411283, block: 0xa698…d62d, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 51, service: slot_notifier
Sep 30 17:57:02.000 INFO Synced                                  slot: 411284, block:    …  empty, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 54, service: slot_notifier
Sep 30 17:57:09.748 INFO New block received                      hash: 0x1c94…6960, slot: 411285
Sep 30 17:57:14.000 INFO Synced                                  slot: 411285, block: 0x1c94…6960, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 50, service: slot_notifier
Sep 30 17:57:22.742 INFO New block received                      hash: 0xab96…61ad, slot: 411286
Sep 30 17:57:26.001 INFO Synced                                  slot: 411286, block: 0xab96…61ad, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 55, service: slot_notifier
Sep 30 17:57:32.731 INFO New block received                      hash: 0x34d0…3686, slot: 411287
Sep 30 17:57:38.000 INFO Synced                                  slot: 411287, block: 0x34d0…3686, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 54, service: slot_notifier
Sep 30 17:57:44.918 INFO New block received                      hash: 0xd51c…636b, slot: 411288
Sep 30 17:57:50.000 INFO Synced                                  slot: 411288, block: 0xd51c…636b, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 51, service: slot_notifier
Sep 30 17:58:02.001 INFO Synced                                  slot: 411289, block:    …  empty, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 52, service: slot_notifier
Sep 30 17:58:08.755 INFO New block received                      hash: 0x26f4…fea2, slot: 411290
Sep 30 17:58:14.000 INFO Synced                                  slot: 411290, block: 0x26f4…fea2, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 52, service: slot_notifier
Sep 30 17:58:20.567 INFO New block received                      hash: 0xd25e…edc2, slot: 411291
Sep 30 17:58:26.000 INFO Synced                                  slot: 411291, block: 0xd25e…edc2, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 51, service: slot_notifier
Sep 30 17:58:32.806 INFO New block received                      hash: 0xc00c…f92e, slot: 411292
Sep 30 17:58:38.001 INFO Synced                                  slot: 411292, block: 0xc00c…f92e, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 51, service: slot_notifier
Sep 30 17:58:44.719 INFO New block received                      hash: 0x139f…c63b, slot: 411293
Sep 30 17:58:50.001 INFO Synced                                  slot: 411293, block: 0x139f…c63b, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 50, service: slot_notifier
Sep 30 17:58:56.588 INFO New block received                      hash: 0x9f20…83d5, slot: 411294
Sep 30 17:59:02.001 INFO Synced                                  slot: 411294, block: 0x9f20…83d5, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 51, service: slot_notifier
Sep 30 17:59:08.942 INFO New block received                      hash: 0x3556…f55d, slot: 411295
Sep 30 17:59:14.000 INFO Synced                                  slot: 411295, block: 0x3556…f55d, epoch: 12852, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 51, service: slot_notifier
Sep 30 17:59:26.000 INFO Synced                                  slot: 411296, block:    …  empty, epoch: 12853, finalized_epoch: 12850, finalized_root: 0xfaf2…4e17, peers: 54, service: slot_notifier
Sep 30 17:59:29.679 INFO New block received                      hash: 0x6719…ebe0, slot: 411296
Sep 30 17:59:32.291 INFO New block received                      hash: 0xbad4…8416, slot: 411297
Sep 30 17:59:38.001 INFO Synced                                  slot: 411297, block: 0xbad4…8416, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 17:59:44.818 INFO New block received                      hash: 0x3e9a…a409, slot: 411298
Sep 30 17:59:50.000 INFO Synced                                  slot: 411298, block: 0x3e9a…a409, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 17:59:56.780 INFO New block received                      hash: 0x1430…8475, slot: 411299
Sep 30 18:00:02.001 INFO Synced                                  slot: 411299, block: 0x1430…8475, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 18:00:08.822 INFO New block received                      hash: 0xdc48…6267, slot: 411300
Sep 30 18:00:14.000 INFO Synced                                  slot: 411300, block: 0xdc48…6267, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 53, service: slot_notifier
Sep 30 18:00:20.828 INFO New block received                      hash: 0x4693…6b6d, slot: 411301
Sep 30 18:00:26.001 INFO Synced                                  slot: 411301, block: 0x4693…6b6d, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 54, service: slot_notifier
Sep 30 18:00:33.954 INFO New block received                      hash: 0xa223…c6e1, slot: 411302
Sep 30 18:00:38.000 INFO Synced                                  slot: 411302, block: 0xa223…c6e1, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 18:00:44.592 INFO New block received                      hash: 0xae47…611a, slot: 411303
Sep 30 18:00:50.000 INFO Synced                                  slot: 411303, block: 0xae47…611a, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 52, service: slot_notifier
Sep 30 18:00:56.897 INFO New block received                      hash: 0xc4a3…4682, slot: 411304
Sep 30 18:01:02.000 INFO Synced                                  slot: 411304, block: 0xc4a3…4682, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 54, service: slot_notifier
Sep 30 18:01:09.647 INFO New block received                      hash: 0xe86e…77f9, slot: 411305
Sep 30 18:01:14.000 INFO Synced                                  slot: 411305, block: 0xe86e…77f9, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 51, service: slot_notifier
Sep 30 18:01:20.819 INFO New block received                      hash: 0xf470…5f46, slot: 411306
Sep 30 18:01:26.000 INFO Synced                                  slot: 411306, block: 0xf470…5f46, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 53, service: slot_notifier
Sep 30 18:01:38.001 INFO Synced                                  slot: 411307, block:    …  empty, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 18:01:45.894 INFO New block received                      hash: 0xdca9…a2c6, slot: 411308
Sep 30 18:01:50.000 INFO Synced                                  slot: 411308, block: 0xdca9…a2c6, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 52, service: slot_notifier
Sep 30 18:01:58.457 INFO New block received                      hash: 0x39d0…70a3, slot: 411309
Sep 30 18:02:02.001 INFO Synced                                  slot: 411309, block: 0x39d0…70a3, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 53, service: slot_notifier
Sep 30 18:02:08.605 INFO New block received                      hash: 0x57bb…551a, slot: 411310
Sep 30 18:02:14.000 INFO Synced                                  slot: 411310, block: 0x57bb…551a, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 50, service: slot_notifier
Sep 30 18:02:22.437 INFO New block received                      hash: 0x4501…34a4, slot: 411311
Sep 30 18:02:26.000 INFO Synced                                  slot: 411311, block: 0x4501…34a4, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 18:02:34.746 INFO New block received                      hash: 0x576c…b0f4, slot: 411312
Sep 30 18:02:38.001 INFO Synced                                  slot: 411312, block: 0x576c…b0f4, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 18:02:44.726 INFO New block received                      hash: 0x41e8…6ebe, slot: 411313
Sep 30 18:02:50.000 INFO Synced                                  slot: 411313, block: 0x41e8…6ebe, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 18:02:56.969 INFO New block received                      hash: 0x3774…014e, slot: 411314
Sep 30 18:03:02.001 INFO Synced                                  slot: 411314, block: 0x3774…014e, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 18:03:08.835 INFO New block received                      hash: 0x6db4…0878, slot: 411315
Sep 30 18:03:14.000 INFO Synced                                  slot: 411315, block: 0x6db4…0878, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 50, service: slot_notifier
Sep 30 18:03:21.113 INFO New block received                      hash: 0xc253…6707, slot: 411316
Sep 30 18:03:26.000 INFO Synced                                  slot: 411316, block: 0xc253…6707, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 51, service: slot_notifier
Sep 30 18:03:35.323 INFO New block received                      hash: 0x8c08…1ce2, slot: 411317
Sep 30 18:03:38.000 INFO Synced                                  slot: 411317, block:    …  empty, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 53, service: slot_notifier
Sep 30 18:03:50.001 INFO Synced                                  slot: 411318, block:    …  empty, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 51, service: slot_notifier
Sep 30 18:03:57.101 INFO New block received                      hash: 0x3915…f88f, slot: 411319
Sep 30 18:04:02.001 INFO Synced                                  slot: 411319, block: 0x3915…f88f, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 52, service: slot_notifier
Sep 30 18:04:14.001 INFO Synced                                  slot: 411320, block:    …  empty, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 51, service: slot_notifier
Sep 30 18:04:23.079 INFO New block received                      hash: 0xb7f3…a678, slot: 411321
Sep 30 18:04:26.000 INFO Synced                                  slot: 411321, block: 0xb7f3…a678, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 53, service: slot_notifier
Sep 30 18:04:33.130 INFO New block received                      hash: 0xd171…9f2c, slot: 411322
Sep 30 18:04:38.001 INFO Synced                                  slot: 411322, block: 0xd171…9f2c, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 18:04:44.799 INFO New block received                      hash: 0x8d28…9e23, slot: 411323
Sep 30 18:04:50.001 INFO Synced                                  slot: 411323, block: 0x8d28…9e23, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 51, service: slot_notifier
Sep 30 18:04:57.622 INFO New block received                      hash: 0xaaf9…169a, slot: 411324
Sep 30 18:05:02.000 INFO Synced                                  slot: 411324, block: 0xaaf9…169a, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 54, service: slot_notifier
Sep 30 18:05:09.664 INFO New block received                      hash: 0x83c7…c534, slot: 411325
Sep 30 18:05:14.000 INFO Synced                                  slot: 411325, block: 0x83c7…c534, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 50, service: slot_notifier
Sep 30 18:05:26.001 INFO Synced                                  slot: 411326, block:    …  empty, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 52, service: slot_notifier
Sep 30 18:05:32.987 INFO New block received                      hash: 0x2bb9…6b80, slot: 411327
Sep 30 18:05:38.000 INFO Synced                                  slot: 411327, block: 0x2bb9…6b80, epoch: 12853, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 55, service: slot_notifier
Sep 30 18:05:50.000 INFO Synced                                  slot: 411328, block:    …  empty, epoch: 12854, finalized_epoch: 12851, finalized_root: 0xa0fa…a2ea, peers: 51, service: slot_notifier
Sep 30 18:05:53.454 INFO New block received                      hash: 0xd627…98f0, slot: 411328
Sep 30 18:06:02.000 INFO Synced                                  slot: 411329, block:    …  empty, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 50, service: slot_notifier
Sep 30 18:06:14.000 INFO Synced                                  slot: 411330, block:    …  empty, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 50, service: slot_notifier
Sep 30 18:06:26.000 INFO Synced                                  slot: 411331, block:    …  empty, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 50, service: slot_notifier
Sep 30 18:06:33.999 INFO New block received                      hash: 0xdd66…98ef, slot: 411332
Sep 30 18:06:38.000 INFO Synced                                  slot: 411332, block: 0xdd66…98ef, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 52, service: slot_notifier
Sep 30 18:06:50.001 INFO Synced                                  slot: 411333, block:    …  empty, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 52, service: slot_notifier
Sep 30 18:06:57.322 INFO New block received                      hash: 0x4f97…34a7, slot: 411334
Sep 30 18:07:02.000 INFO Synced                                  slot: 411334, block: 0x4f97…34a7, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 55, service: slot_notifier
Sep 30 18:07:11.154 INFO New block received                      hash: 0x9808…65e4, slot: 411335
Sep 30 18:07:14.000 INFO Synced                                  slot: 411335, block: 0x9808…65e4, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 51, service: slot_notifier
Sep 30 18:07:20.908 INFO New block received                      hash: 0x978c…8659, slot: 411336
Sep 30 18:07:26.001 INFO Synced                                  slot: 411336, block: 0x978c…8659, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 54, service: slot_notifier
Sep 30 18:07:32.763 INFO New block received                      hash: 0x4771…6819, slot: 411337
Sep 30 18:07:38.001 INFO Synced                                  slot: 411337, block: 0x4771…6819, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 55, service: slot_notifier
Sep 30 18:07:46.140 INFO New block received                      hash: 0xd96a…422d, slot: 411338
Sep 30 18:07:50.000 INFO Synced                                  slot: 411338, block: 0xd96a…422d, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 51, service: slot_notifier
Sep 30 18:07:57.183 INFO New block received                      hash: 0xa85b…e7d5, slot: 411339
Sep 30 18:08:02.000 INFO Synced                                  slot: 411339, block: 0xa85b…e7d5, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 55, service: slot_notifier
Sep 30 18:08:09.163 INFO New block received                      hash: 0x6b23…55f7, slot: 411340
Sep 30 18:08:14.000 INFO Synced                                  slot: 411340, block: 0x6b23…55f7, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 52, service: slot_notifier
Sep 30 18:08:21.430 INFO New block received                      hash: 0x28a6…342b, slot: 411341
Sep 30 18:08:26.001 INFO Synced                                  slot: 411341, block: 0x28a6…342b, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 54, service: slot_notifier
Sep 30 18:08:32.891 INFO New block received                      hash: 0x6ba3…3784, slot: 411342
Sep 30 18:08:38.000 INFO Synced                                  slot: 411342, block: 0x6ba3…3784, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 55, service: slot_notifier
Sep 30 18:08:44.939 INFO New block received                      hash: 0xeba9…de7c, slot: 411343
Sep 30 18:08:50.000 INFO Synced                                  slot: 411343, block: 0xeba9…de7c, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 53, service: slot_notifier
Sep 30 18:08:56.592 INFO New block received                      hash: 0x5d9e…e223, slot: 411344
Sep 30 18:09:02.001 INFO Synced                                  slot: 411344, block: 0x5d9e…e223, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 54, service: slot_notifier
Sep 30 18:09:10.529 INFO New block received                      hash: 0x5103…5979, slot: 411345
Sep 30 18:09:14.000 INFO Synced                                  slot: 411345, block: 0x5103…5979, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 50, service: slot_notifier
Sep 30 18:09:20.497 INFO New block received                      hash: 0x8347…e1f3, slot: 411346
Sep 30 18:09:26.000 INFO Synced                                  slot: 411346, block: 0x8347…e1f3, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 55, service: slot_notifier
Sep 30 18:09:32.756 INFO New block received                      hash: 0x1b1a…7c06, slot: 411347
Sep 30 18:09:38.000 INFO Synced                                  slot: 411347, block: 0x1b1a…7c06, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 55, service: slot_notifier
Sep 30 18:09:44.455 INFO New block received                      hash: 0xd363…7576, slot: 411348
Sep 30 18:09:50.000 INFO Synced                                  slot: 411348, block: 0xd363…7576, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 53, service: slot_notifier
Sep 30 18:09:59.298 INFO New block received                      hash: 0xee37…6b0c, slot: 411349
Sep 30 18:10:02.000 INFO Synced                                  slot: 411349, block: 0xee37…6b0c, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 55, service: slot_notifier
Sep 30 18:10:08.767 INFO New block received                      hash: 0xf706…b08e, slot: 411350
Sep 30 18:10:14.000 INFO Synced                                  slot: 411350, block: 0xf706…b08e, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 52, service: slot_notifier
Sep 30 18:10:20.808 INFO New block received                      hash: 0x2d7d…8f05, slot: 411351
Sep 30 18:10:26.000 INFO Synced                                  slot: 411351, block: 0x2d7d…8f05, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 54, service: slot_notifier
Sep 30 18:10:34.009 INFO New block received                      hash: 0x2f68…8fc0, slot: 411352
Sep 30 18:10:38.000 INFO Synced                                  slot: 411352, block: 0x2f68…8fc0, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 55, service: slot_notifier
Sep 30 18:10:50.000 INFO Synced                                  slot: 411353, block:    …  empty, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 50, service: slot_notifier
Sep 30 18:10:56.931 INFO New block received                      hash: 0xa7a9…600c, slot: 411354
Sep 30 18:11:02.000 INFO Synced                                  slot: 411354, block: 0xa7a9…600c, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 52, service: slot_notifier
Sep 30 18:11:10.963 INFO New block received                      hash: 0x9bf1…276d, slot: 411355
Sep 30 18:11:14.001 INFO Synced                                  slot: 411355, block: 0x9bf1…276d, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 51, service: slot_notifier
Sep 30 18:11:21.730 INFO New block received                      hash: 0x5a8b…5d7a, slot: 411356
Sep 30 18:11:26.000 INFO Synced                                  slot: 411356, block: 0x5a8b…5d7a, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 54, service: slot_notifier
Sep 30 18:11:33.074 INFO New block received                      hash: 0x62b7…24b7, slot: 411357
Sep 30 18:11:38.001 INFO Synced                                  slot: 411357, block: 0x62b7…24b7, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 55, service: slot_notifier
Sep 30 18:11:50.001 INFO Synced                                  slot: 411358, block:    …  empty, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 51, service: slot_notifier
Sep 30 18:11:56.906 INFO New block received                      hash: 0x8abd…3bd0, slot: 411359
Sep 30 18:12:02.000 INFO Synced                                  slot: 411359, block: 0x8abd…3bd0, epoch: 12854, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 52, service: slot_notifier
Sep 30 18:12:14.001 INFO Synced                                  slot: 411360, block:    …  empty, epoch: 12855, finalized_epoch: 12852, finalized_root: 0x857b…88b5, peers: 50, service: slot_notifier
Sep 30 18:12:16.360 INFO New block received                      hash: 0x974a…39d4, slot: 411360
Sep 30 18:12:21.134 INFO New block received                      hash: 0x7a35…3051, slot: 411361
Sep 30 18:12:26.001 INFO Synced                                  slot: 411361, block: 0x7a35…3051, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 51, service: slot_notifier
Sep 30 18:12:35.735 INFO New block received                      hash: 0xbe8a…963f, slot: 411362
Sep 30 18:12:38.001 INFO Synced                                  slot: 411362, block: 0xbe8a…963f, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 54, service: slot_notifier
Sep 30 18:12:49.922 INFO New block received                      hash: 0x3d66…7a14, slot: 411363
Sep 30 18:12:50.000 INFO Synced                                  slot: 411363, block:    …  empty, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 53, service: slot_notifier
Sep 30 18:12:59.127 INFO New block received                      hash: 0xed14…a466, slot: 411364
Sep 30 18:13:02.000 INFO Synced                                  slot: 411364, block: 0xed14…a466, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 53, service: slot_notifier
Sep 30 18:13:14.000 INFO Synced                                  slot: 411365, block:    …  empty, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 50, service: slot_notifier
Sep 30 18:13:22.871 INFO New block received                      hash: 0x6540…c940, slot: 411366
Sep 30 18:13:26.000 INFO Synced                                  slot: 411366, block: 0x6540…c940, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 51, service: slot_notifier
Sep 30 18:13:38.000 INFO Synced                                  slot: 411367, block:    …  empty, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 53, service: slot_notifier
Sep 30 18:13:50.000 INFO Synced                                  slot: 411368, block:    …  empty, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 51, service: slot_notifier
Sep 30 18:14:02.001 INFO Synced                                  slot: 411369, block:    …  empty, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 52, service: slot_notifier
Sep 30 18:14:14.001 INFO Synced                                  slot: 411370, block:    …  empty, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 50, service: slot_notifier
Sep 30 18:14:22.054 INFO New block received                      hash: 0xe5fc…aa2d, slot: 411371
Sep 30 18:14:26.001 INFO Synced                                  slot: 411371, block: 0xe5fc…aa2d, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 53, service: slot_notifier
Sep 30 18:14:35.264 INFO New block received                      hash: 0x0727…5311, slot: 411372
Sep 30 18:14:38.000 INFO Synced                                  slot: 411372, block: 0x0727…5311, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 55, service: slot_notifier
Sep 30 18:14:45.220 INFO New block received                      hash: 0xd68d…474a, slot: 411373
Sep 30 18:14:50.000 INFO Synced                                  slot: 411373, block: 0xd68d…474a, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 51, service: slot_notifier
Sep 30 18:14:58.726 INFO New block received                      hash: 0x515c…6728, slot: 411374
Sep 30 18:15:02.000 INFO Synced                                  slot: 411374, block: 0x515c…6728, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 54, service: slot_notifier
Sep 30 18:15:10.604 INFO New block received                      hash: 0xf50d…916e, slot: 411375
Sep 30 18:15:14.001 INFO Synced                                  slot: 411375, block: 0xf50d…916e, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 50, service: slot_notifier
Sep 30 18:15:22.831 INFO New block received                      hash: 0x7094…847f, slot: 411376
Sep 30 18:15:26.000 INFO Synced                                  slot: 411376, block: 0x7094…847f, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 53, service: slot_notifier
Sep 30 18:15:34.552 INFO New block received                      hash: 0xa30e…f6fc, slot: 411377
Sep 30 18:15:38.001 INFO Synced                                  slot: 411377, block: 0xa30e…f6fc, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 54, service: slot_notifier
Sep 30 18:15:44.927 INFO New block received                      hash: 0xdb59…6247, slot: 411378
Sep 30 18:15:50.000 INFO Synced                                  slot: 411378, block: 0xdb59…6247, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 53, service: slot_notifier
Sep 30 18:15:58.228 INFO New block received                      hash: 0x427f…f97a, slot: 411379
Sep 30 18:16:02.001 INFO Synced                                  slot: 411379, block: 0x427f…f97a, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 52, service: slot_notifier
Sep 30 18:16:09.786 INFO New block received                      hash: 0xfee1…51ba, slot: 411380
Sep 30 18:16:14.000 INFO Synced                                  slot: 411380, block: 0xfee1…51ba, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 50, service: slot_notifier
Sep 30 18:16:21.659 INFO New block received                      hash: 0x53e3…d1f8, slot: 411381
Sep 30 18:16:26.001 INFO Synced                                  slot: 411381, block: 0x53e3…d1f8, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 52, service: slot_notifier
Sep 30 18:16:38.000 INFO Synced                                  slot: 411382, block:    …  empty, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 53, service: slot_notifier
Sep 30 18:16:45.831 INFO New block received                      hash: 0x258c…3bfb, slot: 411383
Sep 30 18:16:50.000 INFO Synced                                  slot: 411383, block: 0x258c…3bfb, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 52, service: slot_notifier
Sep 30 18:16:57.355 INFO New block received                      hash: 0xd351…86a0, slot: 411384
Sep 30 18:17:02.000 INFO Synced                                  slot: 411384, block: 0xd351…86a0, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 53, service: slot_notifier
Sep 30 18:17:10.525 INFO New block received                      hash: 0x0101…c2a7, slot: 411385
Sep 30 18:17:14.000 INFO Synced                                  slot: 411385, block: 0x0101…c2a7, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 50, service: slot_notifier
Sep 30 18:17:21.422 INFO New block received                      hash: 0x38e8…61e8, slot: 411386
Sep 30 18:17:26.001 INFO Synced                                  slot: 411386, block: 0x38e8…61e8, epoch: 12855, finalized_epoch: 12853, finalized_root: 0x6719…ebe0, peers: 50, service: slot_notifier
Sep 30 18:17:32.746 INFO New block received                      hash: 0xef78…053c, slot: 411387
